car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,lat,lon,lat_rad,lon_rad
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,30314.7936,31490.4942,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1.301057125,103.854118,0.022707731,1.812596301
ACM,BLK 98A ALJUNIED CRESCENT,33758.4143,33695.5198,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.320998049,103.8850609,0.023055765,1.813136356
AH1,BLK 101 JALAN DUSUN,29257.7203,34500.3599,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.328277219,103.8446199,0.023182811,1.812430528
AK19,BLOCK 253 ANG MO KIO STREET 21,28185.4359,39012.6664,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,1.369084748,103.8349849,0.023895037,1.812262365
AK31,BLK 302/348 ANG MO KIO ST 31,29482.029,38684.1754,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,1.36611397,103.8466356,0.023843187,1.812465708
AK52,BLOCK 513 ANG MO KIO ST 53,29889.3457,39382.8134,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,1.372432149,103.8502957,0.02395346,1.812529589
AK6,BLOCK 728 ANG MO KIO AVE 6,29283.7324,39647.8906,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,1.374829434,103.8448538,0.0239953,1.81243461
AK83,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,31397.2241,39851.6191,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,1.376671704,103.8638451,0.024027454,1.812766071
AK9,ANG MO KIO AVENUE 9,29674.8184,40616.875,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,1.383592521,103.8483681,0.024148245,1.812495946
AM16,BLK 256A ANG MO KIO STREET 21,28267.0582,39151.8344,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1.370343327,103.8357183,0.023917003,1.812275166
